Banglish,Bangla
kemon acho?,কেমন আছো?
ajke amr mon valo nei,আজকে আমার মন ভালো নেই
tmi ki kro?,তুমি কি করো?
ei gorome amar kichu valo lage na,এই গরমে আমার কিছু ভালো লাগে না
cheleti sada ronger ekti shirt pore eshechilo,ছেলেটি সাদা রঙয়ের একটি শার্ট পরে এসেছিল
meyeti lal ronger shari pore amar sathe dekha korte eshechilo,মেয়েটি লাল রঙয়ের শাড়ি পরে আমার সাথে দেখা করতে এসেছিল
cheleti Sylhet theke Dhakay esheche,ছেলেটি সিলেট থেকে ঢাকায় এসেছে
meyeti Sylhet theke asha ei cheletike onek valobashe,মেয়েটি সিলেট থেকে আসা এই ছেলেটিকে অনেক ভালবাসে
cheleti meyetake ekhno valobasar cokhe dekheni,ছেলেটি মেয়েটাকে এখনো ভালবাসার চোখে দেখেনি
meyeti tar sob shopner moddhe cheletake kolpona kore,মেয়েটি তাঁর সব স্বপ্নের মধ্যে ছেলেটাকে কল্পনা করে
amar onek din age ekbar biye hoyechilo,আমার অনেক দিন আগে একবার বিয়ে হয়েছিল
amar ma amake bolechilo biye hole jibon poriborton hoye jay,আমার মা আমাকে বলেছিল বিয়ে হলে জীবন পরিবর্তন হয়ে যায়
ammu oidin thik kothai bolechilo,আম্মু ঐদিন ঠিক কথাই বলেছিলও
ammu sob somoy amar moner kotha bujhe,আম্মু সব সময় আমার মনের কথা বুঝে
amar basar kajer meyeti ekhon valo moto kaj kore nah,আমার বাসার কাজের মেয়েটি এখন ভাল মত কাজ করে নাহ
amar basar kajer meyeti duidin dhore polatok,আমার বাসার কাজের মেয়েটি দুইদিন ধরে পলাতক
amar basar daroyan ekhon tar grame ghurte giyeche,আমার বাসার দারওয়ান এখন তাঁর গ্রামে ঘুরতে গিয়েছে
tomake ami call dibo na,তোমাকে আমি কল দিবো না
ei jinishta khubi biroktikor chilo,এই জিনিষটা খুবই বিরক্তিকর ছিল
se sylhet theke amar sathe dekha korte esechilo,সে সিলেট থেকে আমার সাথে দেখা করতে এসেছিল
se ekhon rajshahi chole geche,সে এখন রাজশাহী চলে গেছে
se ekhon tar bondhuder sathe cigarette khay,সে এখন তাঁর বন্ধুদের সাথে সিগারেট খায়
se ekdomi hashe na,সে একদমই হাসে না
se amake opoman kore,সে আমাকে অপমান করে
tar boi porte ekdomi valo lage na,তাঁর বই পরতে একদমই ভাল লাগে না
apnar ki boi porar ovvas ache ?,আপনার কি বই পড়ার অভ্যাস আছে ?
tumi ki amake chino ?,তুমি কি আমাকে চিনো ?
ami tomake chinte parlam na,আমি তোমাকে চিনতে পারলাম না
ami tomake age kokhono dekhi nai,আমি তোমাকে আগে কখনো দেখি নাই
amar poralekha korte ekdomi valo lage na,আমাকে পড়ালেখা করতে একদমই ভাল লাগে না
apnar poralekha kora uchit,আপনার পড়ালেখা করা উচিত
apnake poralekha korte hobe,আপনাকে পড়ালেখা করতে হবে
apnar ki poralekha korte ekdomi valo lage nah?,আপনার কি পড়ালেখা করতে একদমই ভাল লাগে নাহ?
tor poralekha korte hobe,তোর পড়ালেখা কোরতে হবে
tui ki ar poralekha korbi nah ?,তুই কি আর পড়ালেখা করবি নাহ ?
tui ki poralekha chere dite chas ?,তুই কি পড়ালেখা ছেড়ে দিতে চাস ?
tor ki poralekha korte ekdomi valo lage nah ?,তোর কি পড়ালেখা করতে একদমই ভাল লাগে নাহ ?
tumi ki ekhon khete boshba ?,তুমি কি এখন খেতে বসবা ?
ajke amar khete valo lagche na,আজকে আমার খেতে ভালো লাগছে না
amar biddaloye onek bondhu ache,আমার বিদ্যালয়ে অনেক বন্ধু আছে
amar choto bon biddaloye jete chay na,আমার ছোট বোন বিদ্যালয়ে যেতে চায় না
amar biddaloye jete onek valo lage,আমার বিদ্যালয়ে যেতে অনেক ভাল লাগে
